date,hemispherical,longitude,latitude,region,period,ndre,lci,severity_level
15/06/22,IMG_4035_B,104.519025,-2.949662,2-gt1,2,0.16261686,0.22952297,4
15/06/22,IMG_4021_A,104.518847,-2.950693,2-gt1,2,0.18283357,0.26961604,3
15/06/22,IMG_4033_A,104.518537,-2.950687,2-gt1,2,0.17794652,0.25820604,3
15/06/22,IMG_4050_B,104.518959,-2.949929,2-gt1,2,0.16949043,0.24300262,4
15/06/22,IMG_4058_A,104.518513,-2.950404,2-gt1,2,0.16023289,0.23015928,3
15/06/22,IMG_4078_A,104.518955,-2.950436,2-gt1,2,0.18427466,0.26750815,3
15/06/22,IMG_4075_B,104.519,-2.950115,2-gt1,2,0.18741466,0.27528456,2
15/06/22,IMG_4085_B,104.519243,-2.950142,2-gt1,2,0.18222909,0.2746815,2
15/06/22,IMG_4092_B,104.519402,-2.950152,2-gt1,2,0.17688517,0.27166763,2
15/06/22,IMG_4089_A,104.519363,-2.950461,2-gt1,2,0.18301363,0.26890016,3
15/06/22,IMG_4110_B,104.519413,-2.949913,2-gt1,2,0.17684765,0.25258654,3
15/06/22,IMG_4112_A,104.519769,-2.950432,2-gt1,2,0.18101542,0.2663481,3
15/06/22,IMG_4129_A,104.519764,-2.950737,2-gt1,2,0.17898047,0.25949356,3
15/06/22,IMG_4119_B,104.519301,-2.949714,2-gt1,2,0.17158034,0.25176376,3
15/06/22,IMG_4135_A,104.519803,-2.950797,2-gt1,2,0.17868781,0.26196098,3
15/06/22,IMG_4126_B,104.519137,-2.949719,2-gt1,2,0.16703318,0.24238428,4
15/06/22,IMG_4148_A,104.519602,-2.950815,2-gt1,2,0.17278326,0.24864095,3
15/06/22,IMG_4173_A,104.519371,-2.950717,2-gt1,2,0.17711057,0.2558356,3
15/06/22,IMG_4145_B,104.519092,-2.949862,2-gt1,2,0.16817957,0.24152723,3
15/06/22,IMG_4188_A,104.519396,-2.950939,2-gt1,2,0.16863453,0.24242985,3
15/06/22,IMG_4155_B,104.518974,-2.949704,2-gt1,2,0.1698104,0.23976095,4
