date,hemispherical,longitude,latitude,region,period,ndre,lci,severity_level
18/01/22,IMG_3528_1,104.51857,-2.950592,1-gt1,1,0.20459299,0.30548677,1
18/01/22,IMG_3520_1,104.518676,-2.9506,1-gt1,1,0.20082645,0.29949337,2
18/01/22,IMG_3510_1,104.518926,-2.950538,1-gt1,1,0.2016258,0.29927707,2
18/01/22,IMG_3501_1,104.518867,-2.95078,1-gt1,1,0.19574134,0.2915467,2
18/01/22,IMG_3495_1,104.518759,-2.950795,1-gt1,1,0.19449557,0.28736344,2
18/01/22,IMG_3491_1,104.518596,-2.950861,1-gt1,1,0.21598579,0.3197584,1
19/01/22,IMG_3622_2,104.509755,-2.954125,1-rric100,1,0.17173733,0.26056948,3
19/01/22,IMG_3616_2,104.509792,-2.954288,1-rric100,1,0.17872965,0.27244335,2
19/01/22,IMG_3610_2,104.509913,-2.95421,1-rric100,1,0.17286208,0.26436624,3
19/01/22,IMG_3603_2,104.509925,-2.954132,1-rric100,1,0.17268944,0.26334795,3
19/01/22,IMG_3598_2,104.510093,-2.954096,1-rric100,1,0.17281531,0.2633659,3
19/01/22,IMG_3594_2,104.510093,-2.954257,1-rric100,1,0.16367866,0.24956073,3
19/01/22,IMG_3587_2,104.510132,-2.954423,1-rric100,1,0.16998407,0.2575811,3
19/01/22,IMG_3584_2,104.510001,-2.954472,1-rric100,1,0.176952,0.2697566,2
19/01/22,IMG_3580_2,104.509788,-2.954448,1-rric100,1,0.17771296,0.2712115,2
19/01/22,IMG_3577_2,104.509085,-2.954495,1-rric100,1,0.17097421,0.2595593,3
19/01/22,IMG_3574_2,104.5091,-2.954318,1-rric100,1,0.16338597,0.2463082,3
19/01/22,IMG_3570_2,104.508938,-2.954288,1-rric100,1,0.17663547,0.27066845,2
19/01/22,IMG_3566_2,104.508925,-2.954493,1-rric100,1,0.17631613,0.26876426,3
19/01/22,IMG_3561_2,104.508788,-2.954488,1-rric100,1,0.17886326,0.2750638,2
19/01/22,IMG_3557_2,104.508738,-2.954297,1-rric100,1,0.1776898,0.27207342,2
19/01/22,IMG_3553_2,104.508745,-2.954122,1-rric100,1,0.16965602,0.25739682,3
19/01/22,IMG_3550_2,104.508925,-2.954125,1-rric100,1,0.16647582,0.25071868,3
19/01/22,IMG_3546_2,104.509126,-2.954188,1-rric100,1,0.16780233,0.25267318,3
18/01/22,IMG_3637_1,104.510055,-2.953878,1-rric100,1,0.17818494,0.270608,2
18/01/22,IMG_3872_1,104.509936,-2.953877,1-rric100,1,0.17216548,0.26033205,3
18/01/22,IMG_3854_1,104.509887,-2.953816,1-rric100,1,0.1702569,0.2569073,3
18/01/22,IMG_3842_1,104.509973,-2.953667,1-rric100,1,0.16864096,0.2572884,3
18/01/22,IMG_3829_1,104.509898,-2.953662,1-rric100,1,0.170996,0.26076093,3
18/01/22,IMG_3818_1,104.510059,-2.953622,1-rric100,1,0.17121406,0.26123264,3
18/01/22,IMG_3802_1,104.510113,-2.953418,1-rric100,1,0.16858599,0.25653532,3
18/01/22,IMG_3788_1,104.509915,-2.953475,1-rric100,1,0.16960755,0.25824657,3
18/01/22,IMG_3772_1,104.509824,-2.953389,1-rric100,1,0.16646956,0.25336966,3
