date,hemispherical,longitude,latitude,region,ndre_karet,lci_karet,ndre_gulma,lci_gulma,severity_level
19/01/22,IMG_3622_2,104.509755,-2.954125,1-rric100,0.17173733,0.26056948,0.21450579,0.31995493,2
19/01/22,IMG_3616_2,104.509792,-2.954288,1-rric100,0.17872965,0.27244335,0.22553454,0.33856118,2
19/01/22,IMG_3610_2,104.509913,-2.95421,1-rric100,0.17286208,0.26436624,0.2173937,0.3275505,2
19/01/22,IMG_3603_2,104.509925,-2.954132,1-rric100,0.17268944,0.26334795,0.21284848,0.31916767,2
19/01/22,IMG_3598_2,104.510093,-2.954096,1-rric100,0.17281531,0.2633659,0.21543987,0.32291698,2
19/01/22,IMG_3594_2,104.510093,-2.954257,1-rric100,0.16367866,0.24956073,0.19519687,0.29700503,2
19/01/22,IMG_3587_2,104.510132,-2.954423,1-rric100,0.16998407,0.2575811,0.20833293,0.31565818,2
19/01/22,IMG_3584_2,104.510001,-2.954472,1-rric100,0.176952,0.2697566,0.22026269,0.3324035,1
19/01/22,IMG_3580_2,104.509788,-2.954448,1-rric100,0.17771296,0.2712115,0.22231306,0.3340315,2
19/01/22,IMG_3577_2,104.509085,-2.954495,1-rric100,0.17097421,0.2595593,0.2028067,0.30637583,2
19/01/22,IMG_3574_2,104.5091,-2.954318,1-rric100,0.16338597,0.2463082,0.19358131,0.29473883,3
19/01/22,IMG_3570_2,104.508938,-2.954288,1-rric100,0.17663547,0.27066845,0.20916928,0.31853992,3
19/01/22,IMG_3566_2,104.508925,-2.954493,1-rric100,0.17631613,0.26876426,0.21225004,0.32005802,3
19/01/22,IMG_3561_2,104.508788,-2.954488,1-rric100,0.17886326,0.2750638,0.22033557,0.33373058,3
19/01/22,IMG_3557_2,104.508738,-2.954297,1-rric100,0.1776898,0.27207342,0.21003734,0.32064107,3
19/01/22,IMG_3553_2,104.508745,-2.954122,1-rric100,0.16965602,0.25739682,0.19702321,0.30158374,3
19/01/22,IMG_3550_2,104.508925,-2.954125,1-rric100,0.16647582,0.25071868,0.2000746,0.3058683,3
19/01/22,IMG_3546_2,104.509126,-2.954188,1-rric100,0.16780233,0.25267318,0.19464673,0.29695004,3
18/01/22,IMG_3637_1,104.510055,-2.953878,1-rric100,0.17818494,0.270608,0.21496029,0.32261544,2
18/01/22,IMG_3872_1,104.509936,-2.953877,1-rric100,0.17216548,0.26033205,0.21172407,0.31696188,2
18/01/22,IMG_3854_1,104.509887,-2.953816,1-rric100,0.1702569,0.2569073,0.2083818,0.313546,3
18/01/22,IMG_3842_1,104.509973,-2.953667,1-rric100,0.16864096,0.2572884,0.20453689,0.30795383,2
18/01/22,IMG_3829_1,104.509898,-2.953662,1-rric100,0.170996,0.26076093,0.20762695,0.31238052,2
